id,attrition,gender,age,maritalstatus,academic_degree,years_experience,years_experience_lastorganization,sector,department,jobtitle,monthlysalary,allowances,medicalinsurance,bonus,overtime,payment_overtime,rewards_wages_satisfaction,get_deserved_promotion,training_programs_during_last_three_years,useful_training_programs,business_travel,job_support,recognition,emotional_commitment,job_engagement,distance_to_work,work_live_balance,physical_stress,psychological_exhaustion,job_stability,health_issues,environment_satisfaction,job_satisfaction,job_opportunities,age_group,salary_band,attrition_label
262,0,Female,31 to 40,Single,Bachelor's,From 5 to 10 years,From 5 to 10 years,Medical sector,Customers service,Receptionist,From 5000 to 10000 S.R,1,Yes,No,No,No,Yes,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Close,Easy,No,No,Yes,No,High,Very satisfied,No,31 to 40,From 5000 to 10000 S.R,Stayed
263,1,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Data entry operator,Less than 5000 SAR,0,Yes,No,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,Travel rarely,Medium,Yes,High,Medium,Close,Medium,Sometimes,Sometimes,No,No,Medium,Satisfied,Yes,21 to 30,Less than 5000 SAR,Left
264,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Dentist,From 5000 to 10000 S.R,1,Yes,Yes,No,I don't have overtime,Yes,Yes,I did not receive any training,Yes,I do not travel for work,High,Yes,High,Easy,Medium,Medium,Yes,No,Yes,No,High,Very satisfied,Yes,21 to 30,From 5000 to 10000 S.R,Stayed
265,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Nurse,Less than 5000 SAR,1,Yes,No,Yes,Yes,No,No,From 1 to 3 training programs,No,I do not travel for work,Medium,Yes,Medium,Medium,Far,Medium,Sometimes,Sometimes,Yes,No,Medium,Satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
266,0,Female,21 to 30,Single,Bachelor's,From 5 to 10 years,From 5 to 10 years,Medical sector,Customers service,Supervisor,From 5000 to 10000 S.R,2,Yes,Yes,Yes,Yes,No,Yes,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,High,Medium,Medium,Medium,No,Yes,No,No,Medium,Satisfied,No,21 to 30,From 5000 to 10000 S.R,Stayed
268,1,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Communications and IT sector,Customers service,Customer services representative,Less than 5000 SAR,2,Yes,Yes,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,I do not travel for work,High,Yes,Medium,Medium,Close,Easy,Yes,Sometimes,No,No,Medium,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Left
269,0,Female,31 to 40,Single,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Administration,Manger assistant,Less than 5000 SAR,1,Yes,No,No,I don't have overtime,Yes,Yes,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Medium,Medium,No,No,Yes,No,Medium,Satisfied,No,31 to 40,Less than 5000 SAR,Stayed
270,0,Female,31 to 40,Married,Bachelor's,Less than 5 years,Less than 5 years,Tourism sector,Customers service,Customer services representative,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Medium,Yes,Medium,Difficult,Far,Difficult,Sometimes,Sometimes,No,No,High,Not satisfied,No,31 to 40,Less than 5000 SAR,Stayed
271,1,Female,31 to 40,Married,Diploma or secondary,From 5 to 10 years,Less than 5 years,Medical sector,Patient Affairs,Data entry operator,Less than 5000 SAR,2,No,No,No,I don't have overtime,No,No,From 4 to 6 training programs,Yes,I do not travel for work,Medium,No,Low,Easy,Close,Easy,Yes,Yes,No,No,Medium,Not satisfied,Yes,31 to 40,Less than 5000 SAR,Left
272,1,Female,21 to 30,Single,Bachelor's,From 5 to 10 years,Less than 5 years,Medical sector,Patient Affairs,Receptionist,Less than 5000 SAR,1,Yes,No,Yes,Yes,No,No,I did not receive any training,No,I do not travel for work,Medium,No,Low,Medium,Medium,Medium,Sometimes,Yes,No,No,Low,Not satisfied,No,21 to 30,Less than 5000 SAR,Left
273,0,Female,31 to 40,Single,Bachelor's,From 5 to 10 years,From 5 to 10 years,Medical sector,Customers service,Receptionist,Less than 5000 SAR,2,Yes,No,No,Yes,No,No,I did not receive any training,No,I do not travel for work,Medium,No,High,Medium,Medium,Medium,Sometimes,Yes,No,No,High,Satisfied,Yes,31 to 40,Less than 5000 SAR,Stayed
274,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Financial sector,Sales,Salesman,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Low,No,Low,Medium,Close,Medium,Sometimes,Yes,No,No,Low,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
275,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Processes,Data entry operator,From 5000 to 10000 S.R,3,Yes,Yes,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Low,No,Medium,Medium,Medium,Medium,Yes,Yes,No,No,Medium,Satisfied,No,21 to 30,From 5000 to 10000 S.R,Stayed
276,0,Female,21 to 30,Single,Diploma or secondary,Less than 5 years,Less than 5 years,Medical sector,Customers service,Receptionist,Less than 5000 SAR,1,Yes,No,Yes,Yes,Yes,Yes,I did not receive any training,Yes,I do not travel for work,Medium,Yes,High,Medium,Medium,Easy,Sometimes,No,Yes,No,High,Very satisfied,No,21 to 30,Less than 5000 SAR,Stayed
277,0,Male,31 to 40,Married,Diploma or secondary,From 5 to 10 years,From 5 to 10 years,Medical sector,Safety & Security,Security and safety specialist,Less than 5000 SAR,0,No,No,No,No,No,Yes,I did not receive any training,No,I do not travel for work,Medium,Yes,Medium,Difficult,Far,Medium,Sometimes,Sometimes,No,No,Medium,Satisfied,No,31 to 40,Less than 5000 SAR,Stayed
278,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Customers service,Customer services representative,Less than 5000 SAR,1,Yes,No,No,Yes,No,No,I did not receive any training,Yes,I do not travel for work,Low,No,Low,Difficult,Far,Difficult,Yes,Yes,No,Yes,Low,Not satisfied,No,21 to 30,Less than 5000 SAR,Stayed
279,1,Male,31 to 40,Married,Diploma or secondary,From 16 to 20 years,Less than 5 years,Food production sector,Processes,Lab specialist,Less than 5000 SAR,0,No,No,Yes,No,No,No,From 4 to 6 training programs,Yes,I do not travel for work,Low,No,Medium,Medium,Close,Medium,Sometimes,Sometimes,No,No,Medium,Not satisfied,Yes,31 to 40,Less than 5000 SAR,Left
280,0,Female,41 to 50,Single,Diploma or secondary,From 5 to 10 years,From 5 to 10 years,Medical sector,Processes,Insurance officer,Less than 5000 SAR,1,Yes,No,Yes,No,No,No,I did not receive any training,No,I do not travel for work,Low,No,High,Medium,Close,Medium,Sometimes,Yes,No,No,Medium,Satisfied,Yes,41 to 50,Less than 5000 SAR,Stayed
